Field,Desc
cp,收盘价
date,日期
pb_avg,PB_平均值法
pb_ew,PB_等权法
pb_ewpvo,PB_正数等权法
pb_fs_avg_avgv,PB_所有时间_平均值法_平均值
pb_fs_avg_cv,PB_所有时间_平均值法_当前值
pb_fs_avg_cvpos,PB_所有时间_平均值法_当前分为点
pb_fs_avg_maxpv,PB_所有时间_平均值法_最大正值
pb_fs_avg_maxv,PB_所有时间_平均值法_最大值
pb_fs_avg_minv,PB_所有时间_平均值法_最小值
pb_fs_avg_q2v,PB_所有时间_平均值法_20%分位点
pb_fs_avg_q5v,PB_所有时间_平均值法_50%分位点
pb_fs_avg_q8v,PB_所有时间_平均值法_80%分位点
pb_fs_ew_avgv,PB_所有时间_等权法_平均值
pb_fs_ew_cv,PB_所有时间_等权法_当前值
pb_fs_ew_cvpos,PB_所有时间_等权法_当前分为点
pb_fs_ew_maxpv,PB_所有时间_等权法_最大正值
pb_fs_ew_maxv,PB_所有时间_等权法_最大值
pb_fs_ew_minv,PB_所有时间_等权法_最小值
pb_fs_ew_q2v,PB_所有时间_等权法_20%分位点
pb_fs_ew_q5v,PB_所有时间_等权法_50%分位点
pb_fs_ew_q8v,PB_所有时间_等权法_80%分位点
pb_fs_ewpvo_avgv,PB_所有时间_正数等权法_平均值
pb_fs_ewpvo_cv,PB_所有时间_正数等权法_当前值
pb_fs_ewpvo_cvpos,PB_所有时间_正数等权法_当前分为点
pb_fs_ewpvo_maxpv,PB_所有时间_正数等权法_最大正值
pb_fs_ewpvo_maxv,PB_所有时间_正数等权法_最大值
pb_fs_ewpvo_minv,PB_所有时间_正数等权法_最小值
pb_fs_ewpvo_q2v,PB_所有时间_正数等权法_20%分位点
pb_fs_ewpvo_q5v,PB_所有时间_正数等权法_50%分位点
pb_fs_ewpvo_q8v,PB_所有时间_正数等权法_80%分位点
pb_fs_mcw_avgv,PB_所有时间_加权法_平均值
pb_fs_mcw_cv,PB_所有时间_加权法_当前值
pb_fs_mcw_cvpos,PB_所有时间_加权法_当前分为点
pb_fs_mcw_maxpv,PB_所有时间_加权法_最大正值
pb_fs_mcw_maxv,PB_所有时间_加权法_最大值
pb_fs_mcw_minv,PB_所有时间_加权法_最小值
pb_fs_mcw_q2v,PB_所有时间_加权法_20%分位点
pb_fs_mcw_q5v,PB_所有时间_加权法_50%分位点
pb_fs_mcw_q8v,PB_所有时间_加权法_80%分位点
pb_fs_median_avgv,PB_所有时间_中位数_平均值
pb_fs_median_cv,PB_所有时间_中位数_当前值
pb_fs_median_cvpos,PB_所有时间_中位数_当前分为点
pb_fs_median_maxpv,PB_所有时间_中位数_最大正值
pb_fs_median_maxv,PB_所有时间_中位数_最大值
pb_fs_median_minv,PB_所有时间_中位数_最小值
pb_fs_median_q2v,PB_所有时间_中位数_20%分位点
pb_fs_median_q5v,PB_所有时间_中位数_50%分位点
pb_fs_median_q8v,PB_所有时间_中位数_80%分位点
pb_mcw,PB_加权法
pb_median,PB_中位数
pb_y10_avg_avgv,PB_10年_平均值法_平均值
pb_y10_avg_cv,PB_10年_平均值法_当前值
pb_y10_avg_cvpos,PB_10年_平均值法_当前分为点
pb_y10_avg_maxpv,PB_10年_平均值法_最大正值
pb_y10_avg_maxv,PB_10年_平均值法_最大值
pb_y10_avg_minv,PB_10年_平均值法_最小值
pb_y10_avg_q2v,PB_10年_平均值法_20%分位点
pb_y10_avg_q5v,PB_10年_平均值法_50%分位点
pb_y10_avg_q8v,PB_10年_平均值法_80%分位点
pb_y10_ew_avgv,PB_10年_等权法_平均值
pb_y10_ew_cv,PB_10年_等权法_当前值
pb_y10_ew_cvpos,PB_10年_等权法_当前分为点
pb_y10_ew_maxpv,PB_10年_等权法_最大正值
pb_y10_ew_maxv,PB_10年_等权法_最大值
pb_y10_ew_minv,PB_10年_等权法_最小值
pb_y10_ew_q2v,PB_10年_等权法_20%分位点
pb_y10_ew_q5v,PB_10年_等权法_50%分位点
pb_y10_ew_q8v,PB_10年_等权法_80%分位点
pb_y10_ewpvo_avgv,PB_10年_正数等权法_平均值
pb_y10_ewpvo_cv,PB_10年_正数等权法_当前值
pb_y10_ewpvo_cvpos,PB_10年_正数等权法_当前分为点
pb_y10_ewpvo_maxpv,PB_10年_正数等权法_最大正值
pb_y10_ewpvo_maxv,PB_10年_正数等权法_最大值
pb_y10_ewpvo_minv,PB_10年_正数等权法_最小值
pb_y10_ewpvo_q2v,PB_10年_正数等权法_20%分位点
pb_y10_ewpvo_q5v,PB_10年_正数等权法_50%分位点
pb_y10_ewpvo_q8v,PB_10年_正数等权法_80%分位点
pb_y10_mcw_avgv,PB_10年_加权法_平均值
pb_y10_mcw_cv,PB_10年_加权法_当前值
pb_y10_mcw_cvpos,PB_10年_加权法_当前分为点
pb_y10_mcw_maxpv,PB_10年_加权法_最大正值
pb_y10_mcw_maxv,PB_10年_加权法_最大值
pb_y10_mcw_minv,PB_10年_加权法_最小值
pb_y10_mcw_q2v,PB_10年_加权法_20%分位点
pb_y10_mcw_q5v,PB_10年_加权法_50%分位点
pb_y10_mcw_q8v,PB_10年_加权法_80%分位点
pb_y10_median_avgv,PB_10年_中位数_平均值
pb_y10_median_cv,PB_10年_中位数_当前值
pb_y10_median_cvpos,PB_10年_中位数_当前分为点
pb_y10_median_maxpv,PB_10年_中位数_最大正值
pb_y10_median_maxv,PB_10年_中位数_最大值
pb_y10_median_minv,PB_10年_中位数_最小值
pb_y10_median_q2v,PB_10年_中位数_20%分位点
pb_y10_median_q5v,PB_10年_中位数_50%分位点
pb_y10_median_q8v,PB_10年_中位数_80%分位点
pb_y5_avg_avgv,PB_5年_平均值法_平均值
pb_y5_avg_cv,PB_5年_平均值法_当前值
pb_y5_avg_cvpos,PB_5年_平均值法_当前分为点
pb_y5_avg_maxpv,PB_5年_平均值法_最大正值
pb_y5_avg_maxv,PB_5年_平均值法_最大值
pb_y5_avg_minv,PB_5年_平均值法_最小值
pb_y5_avg_q2v,PB_5年_平均值法_20%分位点
pb_y5_avg_q5v,PB_5年_平均值法_50%分位点
pb_y5_avg_q8v,PB_5年_平均值法_80%分位点
pb_y5_ew_avgv,PB_5年_等权法_平均值
pb_y5_ew_cv,PB_5年_等权法_当前值
pb_y5_ew_cvpos,PB_5年_等权法_当前分为点
pb_y5_ew_maxpv,PB_5年_等权法_最大正值
pb_y5_ew_maxv,PB_5年_等权法_最大值
pb_y5_ew_minv,PB_5年_等权法_最小值
pb_y5_ew_q2v,PB_5年_等权法_20%分位点
pb_y5_ew_q5v,PB_5年_等权法_50%分位点
pb_y5_ew_q8v,PB_5年_等权法_80%分位点
pb_y5_ewpvo_avgv,PB_5年_正数等权法_平均值
pb_y5_ewpvo_cv,PB_5年_正数等权法_当前值
pb_y5_ewpvo_cvpos,PB_5年_正数等权法_当前分为点
pb_y5_ewpvo_maxpv,PB_5年_正数等权法_最大正值
pb_y5_ewpvo_maxv,PB_5年_正数等权法_最大值
pb_y5_ewpvo_minv,PB_5年_正数等权法_最小值
pb_y5_ewpvo_q2v,PB_5年_正数等权法_20%分位点
pb_y5_ewpvo_q5v,PB_5年_正数等权法_50%分位点
pb_y5_ewpvo_q8v,PB_5年_正数等权法_80%分位点
pb_y5_mcw_avgv,PB_5年_加权法_平均值
pb_y5_mcw_cv,PB_5年_加权法_当前值
pb_y5_mcw_cvpos,PB_5年_加权法_当前分为点
pb_y5_mcw_maxpv,PB_5年_加权法_最大正值
pb_y5_mcw_maxv,PB_5年_加权法_最大值
pb_y5_mcw_minv,PB_5年_加权法_最小值
pb_y5_mcw_q2v,PB_5年_加权法_20%分位点
pb_y5_mcw_q5v,PB_5年_加权法_50%分位点
pb_y5_mcw_q8v,PB_5年_加权法_80%分位点
pb_y5_median_avgv,PB_5年_中位数_平均值
pb_y5_median_cv,PB_5年_中位数_当前值
pb_y5_median_cvpos,PB_5年_中位数_当前分为点
pb_y5_median_maxpv,PB_5年_中位数_最大正值
pb_y5_median_maxv,PB_5年_中位数_最大值
pb_y5_median_minv,PB_5年_中位数_最小值
pb_y5_median_q2v,PB_5年_中位数_20%分位点
pb_y5_median_q5v,PB_5年_中位数_50%分位点
pb_y5_median_q8v,PB_5年_中位数_80%分位点
pe_ttm_avg,PE_平均值法
pe_ttm_ew,PE_等权法
pe_ttm_ewpvo,PE_正数等权法
pe_ttm_fs_avg_avgv,PE_所有时间_平均值法_平均值
pe_ttm_fs_avg_cv,PE_所有时间_平均值法_当前值
pe_ttm_fs_avg_cvpos,PE_所有时间_平均值法_当前分为点
pe_ttm_fs_avg_maxpv,PE_所有时间_平均值法_最大正值
pe_ttm_fs_avg_maxv,PE_所有时间_平均值法_最大值
pe_ttm_fs_avg_minv,PE_所有时间_平均值法_最小值
pe_ttm_fs_avg_q2v,PE_所有时间_平均值法_20%分位点
pe_ttm_fs_avg_q5v,PE_所有时间_平均值法_50%分位点
pe_ttm_fs_avg_q8v,PE_所有时间_平均值法_80%分位点
pe_ttm_fs_ew_avgv,PE_所有时间_等权法_平均值
pe_ttm_fs_ew_cv,PE_所有时间_等权法_当前值
pe_ttm_fs_ew_cvpos,PE_所有时间_等权法_当前分为点
pe_ttm_fs_ew_maxpv,PE_所有时间_等权法_最大正值
pe_ttm_fs_ew_maxv,PE_所有时间_等权法_最大值
pe_ttm_fs_ew_minv,PE_所有时间_等权法_最小值
pe_ttm_fs_ew_q2v,PE_所有时间_等权法_20%分位点
pe_ttm_fs_ew_q5v,PE_所有时间_等权法_50%分位点
pe_ttm_fs_ew_q8v,PE_所有时间_等权法_80%分位点
pe_ttm_fs_ewpvo_avgv,PE_所有时间_正数等权法_平均值
pe_ttm_fs_ewpvo_cv,PE_所有时间_正数等权法_当前值
pe_ttm_fs_ewpvo_cvpos,PE_所有时间_正数等权法_当前分为点
pe_ttm_fs_ewpvo_maxpv,PE_所有时间_正数等权法_最大正值
pe_ttm_fs_ewpvo_maxv,PE_所有时间_正数等权法_最大值
pe_ttm_fs_ewpvo_minv,PE_所有时间_正数等权法_最小值
pe_ttm_fs_ewpvo_q2v,PE_所有时间_正数等权法_20%分位点
pe_ttm_fs_ewpvo_q5v,PE_所有时间_正数等权法_50%分位点
pe_ttm_fs_ewpvo_q8v,PE_所有时间_正数等权法_80%分位点
pe_ttm_fs_mcw_avgv,PE_所有时间_加权法_平均值
pe_ttm_fs_mcw_cv,PE_所有时间_加权法_当前值
pe_ttm_fs_mcw_cvpos,PE_所有时间_加权法_当前分为点
pe_ttm_fs_mcw_maxpv,PE_所有时间_加权法_最大正值
pe_ttm_fs_mcw_maxv,PE_所有时间_加权法_最大值
pe_ttm_fs_mcw_minv,PE_所有时间_加权法_最小值
pe_ttm_fs_mcw_q2v,PE_所有时间_加权法_20%分位点
pe_ttm_fs_mcw_q5v,PE_所有时间_加权法_50%分位点
pe_ttm_fs_mcw_q8v,PE_所有时间_加权法_80%分位点
pe_ttm_fs_median_avgv,PE_所有时间_中位数_平均值
pe_ttm_fs_median_cv,PE_所有时间_中位数_当前值
pe_ttm_fs_median_cvpos,PE_所有时间_中位数_当前分为点
pe_ttm_fs_median_maxpv,PE_所有时间_中位数_最大正值
pe_ttm_fs_median_maxv,PE_所有时间_中位数_最大值
pe_ttm_fs_median_minv,PE_所有时间_中位数_最小值
pe_ttm_fs_median_q2v,PE_所有时间_中位数_20%分位点
pe_ttm_fs_median_q5v,PE_所有时间_中位数_50%分位点
pe_ttm_fs_median_q8v,PE_所有时间_中位数_80%分位点
pe_ttm_mcw,PE_加权法
pe_ttm_median,PE_中位数
pe_ttm_y10_avg_avgv,PE_10年_平均值法_平均值
pe_ttm_y10_avg_cv,PE_10年_平均值法_当前值
pe_ttm_y10_avg_cvpos,PE_10年_平均值法_当前分为点
pe_ttm_y10_avg_maxpv,PE_10年_平均值法_最大正值
pe_ttm_y10_avg_maxv,PE_10年_平均值法_最大值
pe_ttm_y10_avg_minv,PE_10年_平均值法_最小值
pe_ttm_y10_avg_q2v,PE_10年_平均值法_20%分位点
pe_ttm_y10_avg_q5v,PE_10年_平均值法_50%分位点
pe_ttm_y10_avg_q8v,PE_10年_平均值法_80%分位点
pe_ttm_y10_ew_avgv,PE_10年_等权法_平均值
pe_ttm_y10_ew_cv,PE_10年_等权法_当前值
pe_ttm_y10_ew_cvpos,PE_10年_等权法_当前分为点
pe_ttm_y10_ew_maxpv,PE_10年_等权法_最大正值
pe_ttm_y10_ew_maxv,PE_10年_等权法_最大值
pe_ttm_y10_ew_minv,PE_10年_等权法_最小值
pe_ttm_y10_ew_q2v,PE_10年_等权法_20%分位点
pe_ttm_y10_ew_q5v,PE_10年_等权法_50%分位点
pe_ttm_y10_ew_q8v,PE_10年_等权法_80%分位点
pe_ttm_y10_ewpvo_avgv,PE_10年_正数等权法_平均值
pe_ttm_y10_ewpvo_cv,PE_10年_正数等权法_当前值
pe_ttm_y10_ewpvo_cvpos,PE_10年_正数等权法_当前分为点
pe_ttm_y10_ewpvo_maxpv,PE_10年_正数等权法_最大正值
pe_ttm_y10_ewpvo_maxv,PE_10年_正数等权法_最大值
pe_ttm_y10_ewpvo_minv,PE_10年_正数等权法_最小值
pe_ttm_y10_ewpvo_q2v,PE_10年_正数等权法_20%分位点
pe_ttm_y10_ewpvo_q5v,PE_10年_正数等权法_50%分位点
pe_ttm_y10_ewpvo_q8v,PE_10年_正数等权法_80%分位点
pe_ttm_y10_mcw_avgv,PE_10年_加权法_平均值
pe_ttm_y10_mcw_cv,PE_10年_加权法_当前值
pe_ttm_y10_mcw_cvpos,PE_10年_加权法_当前分为点
pe_ttm_y10_mcw_maxpv,PE_10年_加权法_最大正值
pe_ttm_y10_mcw_maxv,PE_10年_加权法_最大值
pe_ttm_y10_mcw_minv,PE_10年_加权法_最小值
pe_ttm_y10_mcw_q2v,PE_10年_加权法_20%分位点
pe_ttm_y10_mcw_q5v,PE_10年_加权法_50%分位点
pe_ttm_y10_mcw_q8v,PE_10年_加权法_80%分位点
pe_ttm_y10_median_avgv,PE_10年_中位数_平均值
pe_ttm_y10_median_cv,PE_10年_中位数_当前值
pe_ttm_y10_median_cvpos,PE_10年_中位数_当前分为点
pe_ttm_y10_median_maxpv,PE_10年_中位数_最大正值
pe_ttm_y10_median_maxv,PE_10年_中位数_最大值
pe_ttm_y10_median_minv,PE_10年_中位数_最小值
pe_ttm_y10_median_q2v,PE_10年_中位数_20%分位点
pe_ttm_y10_median_q5v,PE_10年_中位数_50%分位点
pe_ttm_y10_median_q8v,PE_10年_中位数_80%分位点
pe_ttm_y5_avg_avgv,PE_5年_平均值法_平均值
pe_ttm_y5_avg_cv,PE_5年_平均值法_当前值
pe_ttm_y5_avg_cvpos,PE_5年_平均值法_当前分为点
pe_ttm_y5_avg_maxpv,PE_5年_平均值法_最大正值
pe_ttm_y5_avg_maxv,PE_5年_平均值法_最大值
pe_ttm_y5_avg_minv,PE_5年_平均值法_最小值
pe_ttm_y5_avg_q2v,PE_5年_平均值法_20%分位点
pe_ttm_y5_avg_q5v,PE_5年_平均值法_50%分位点
pe_ttm_y5_avg_q8v,PE_5年_平均值法_80%分位点
pe_ttm_y5_ew_avgv,PE_5年_等权法_平均值
pe_ttm_y5_ew_cv,PE_5年_等权法_当前值
pe_ttm_y5_ew_cvpos,PE_5年_等权法_当前分为点
pe_ttm_y5_ew_maxpv,PE_5年_等权法_最大正值
pe_ttm_y5_ew_maxv,PE_5年_等权法_最大值
pe_ttm_y5_ew_minv,PE_5年_等权法_最小值
pe_ttm_y5_ew_q2v,PE_5年_等权法_20%分位点
pe_ttm_y5_ew_q5v,PE_5年_等权法_50%分位点
pe_ttm_y5_ew_q8v,PE_5年_等权法_80%分位点
pe_ttm_y5_ewpvo_avgv,PE_5年_正数等权法_平均值
pe_ttm_y5_ewpvo_cv,PE_5年_正数等权法_当前值
pe_ttm_y5_ewpvo_cvpos,PE_5年_正数等权法_当前分为点
pe_ttm_y5_ewpvo_maxpv,PE_5年_正数等权法_最大正值
pe_ttm_y5_ewpvo_maxv,PE_5年_正数等权法_最大值
pe_ttm_y5_ewpvo_minv,PE_5年_正数等权法_最小值
pe_ttm_y5_ewpvo_q2v,PE_5年_正数等权法_20%分位点
pe_ttm_y5_ewpvo_q5v,PE_5年_正数等权法_50%分位点
pe_ttm_y5_ewpvo_q8v,PE_5年_正数等权法_80%分位点
pe_ttm_y5_mcw_avgv,PE_5年_加权法_平均值
pe_ttm_y5_mcw_cv,PE_5年_加权法_当前值
pe_ttm_y5_mcw_cvpos,PE_5年_加权法_当前分为点
pe_ttm_y5_mcw_maxpv,PE_5年_加权法_最大正值
pe_ttm_y5_mcw_maxv,PE_5年_加权法_最大值
pe_ttm_y5_mcw_minv,PE_5年_加权法_最小值
pe_ttm_y5_mcw_q2v,PE_5年_加权法_20%分位点
pe_ttm_y5_mcw_q5v,PE_5年_加权法_50%分位点
pe_ttm_y5_mcw_q8v,PE_5年_加权法_80%分位点
pe_ttm_y5_median_avgv,PE_5年_中位数_平均值
pe_ttm_y5_median_cv,PE_5年_中位数_当前值
pe_ttm_y5_median_cvpos,PE_5年_中位数_当前分为点
pe_ttm_y5_median_maxpv,PE_5年_中位数_最大正值
pe_ttm_y5_median_maxv,PE_5年_中位数_最大值
pe_ttm_y5_median_minv,PE_5年_中位数_最小值
pe_ttm_y5_median_q2v,PE_5年_中位数_20%分位点
pe_ttm_y5_median_q5v,PE_5年_中位数_50%分位点
pe_ttm_y5_median_q8v,PE_5年_中位数_80%分位点
stockCode,指数代码