字段,释意
cp,___
date,__
pb_avg,pb-___
pb_ew,pb-__
pb_ewpvo,pb-____
pb_fs_avg_avgv,pb-___-____-___
pb_fs_avg_cv,pb-___-____-___
pb_fs_avg_cvpos,
pb_fs_avg_maxpv,
pb_fs_avg_maxv,
pb_fs_avg_minv,
pb_fs_avg_q2v,
pb_fs_avg_q5v,
pb_fs_avg_q8v,
pb_fs_ew_avgv,
pb_fs_ew_cv,
pb_fs_ew_cvpos,
pb_fs_ew_maxpv,
pb_fs_ew_maxv,
pb_fs_ew_minv,
pb_fs_ew_q2v,
pb_fs_ew_q5v,
pb_fs_ew_q8v,
pb_fs_ewpvo_avgv,
pb_fs_ewpvo_cv,
pb_fs_ewpvo_cvpos,
pb_fs_ewpvo_maxpv,
pb_fs_ewpvo_maxv,
pb_fs_ewpvo_minv,
pb_fs_ewpvo_q2v,
pb_fs_ewpvo_q5v,
pb_fs_ewpvo_q8v,
pb_fs_mcw_avgv,
pb_fs_mcw_cv,
pb_fs_mcw_cvpos,
pb_fs_mcw_maxpv,
pb_fs_mcw_maxv,
pb_fs_mcw_minv,
pb_fs_mcw_q2v,
pb_fs_mcw_q5v,
pb_fs_mcw_q8v,
pb_fs_median_avgv,
pb_fs_median_cv,
pb_fs_median_cvpos,
pb_fs_median_maxpv,
pb_fs_median_maxv,
pb_fs_median_minv,
pb_fs_median_q2v,
pb_fs_median_q5v,
pb_fs_median_q8v,
pb_mcw,
pb_median,
pb_y10_avg_avgv,
pb_y10_avg_cv,
pb_y10_avg_cvpos,
pb_y10_avg_maxpv,
pb_y10_avg_maxv,
pb_y10_avg_minv,
pb_y10_avg_q2v,
pb_y10_avg_q5v,
pb_y10_avg_q8v,
pb_y10_ew_avgv,
pb_y10_ew_cv,
pb_y10_ew_cvpos,
pb_y10_ew_maxpv,
pb_y10_ew_maxv,
pb_y10_ew_minv,
pb_y10_ew_q2v,
pb_y10_ew_q5v,
pb_y10_ew_q8v,
pb_y10_ewpvo_avgv,
pb_y10_ewpvo_cv,
pb_y10_ewpvo_cvpos,
pb_y10_ewpvo_maxpv,
pb_y10_ewpvo_maxv,
pb_y10_ewpvo_minv,
pb_y10_ewpvo_q2v,
pb_y10_ewpvo_q5v,
pb_y10_ewpvo_q8v,
pb_y10_mcw_avgv,
pb_y10_mcw_cv,
pb_y10_mcw_cvpos,
pb_y10_mcw_maxpv,
pb_y10_mcw_maxv,
pb_y10_mcw_minv,
pb_y10_mcw_q2v,
pb_y10_mcw_q5v,
pb_y10_mcw_q8v,
pb_y10_median_avgv,
pb_y10_median_cv,
pb_y10_median_cvpos,
pb_y10_median_maxpv,
pb_y10_median_maxv,
pb_y10_median_minv,
pb_y10_median_q2v,
pb_y10_median_q5v,
pb_y10_median_q8v,
pb_y5_avg_avgv,
pb_y5_avg_cv,
pb_y5_avg_cvpos,
pb_y5_avg_maxpv,
pb_y5_avg_maxv,
pb_y5_avg_minv,
pb_y5_avg_q2v,
pb_y5_avg_q5v,
pb_y5_avg_q8v,
pb_y5_ew_avgv,
pb_y5_ew_cv,
pb_y5_ew_cvpos,
pb_y5_ew_maxpv,
pb_y5_ew_maxv,
pb_y5_ew_minv,
pb_y5_ew_q2v,
pb_y5_ew_q5v,
pb_y5_ew_q8v,
pb_y5_ewpvo_avgv,
pb_y5_ewpvo_cv,
pb_y5_ewpvo_cvpos,
pb_y5_ewpvo_maxpv,
pb_y5_ewpvo_maxv,
pb_y5_ewpvo_minv,
pb_y5_ewpvo_q2v,
pb_y5_ewpvo_q5v,
pb_y5_ewpvo_q8v,
pb_y5_mcw_avgv,
pb_y5_mcw_cv,
pb_y5_mcw_cvpos,
pb_y5_mcw_maxpv,
pb_y5_mcw_maxv,
pb_y5_mcw_minv,
pb_y5_mcw_q2v,
pb_y5_mcw_q5v,
pb_y5_mcw_q8v,
pb_y5_median_avgv,
pb_y5_median_cv,
pb_y5_median_cvpos,
pb_y5_median_maxpv,
pb_y5_median_maxv,
pb_y5_median_minv,
pb_y5_median_q2v,
pb_y5_median_q5v,
pb_y5_median_q8v,
pe_ttm_avg,
pe_ttm_ew,
pe_ttm_ewpvo,
pe_ttm_fs_avg_avgv,
pe_ttm_fs_avg_cv,
pe_ttm_fs_avg_cvpos,
pe_ttm_fs_avg_maxpv,
pe_ttm_fs_avg_maxv,
pe_ttm_fs_avg_minv,
pe_ttm_fs_avg_q2v,
pe_ttm_fs_avg_q5v,
pe_ttm_fs_avg_q8v,
pe_ttm_fs_ew_avgv,
pe_ttm_fs_ew_cv,
pe_ttm_fs_ew_cvpos,
pe_ttm_fs_ew_maxpv,
pe_ttm_fs_ew_maxv,
pe_ttm_fs_ew_minv,
pe_ttm_fs_ew_q2v,
pe_ttm_fs_ew_q5v,
pe_ttm_fs_ew_q8v,
pe_ttm_fs_ewpvo_avgv,
pe_ttm_fs_ewpvo_cv,
pe_ttm_fs_ewpvo_cvpos,
pe_ttm_fs_ewpvo_maxpv,
pe_ttm_fs_ewpvo_maxv,
pe_ttm_fs_ewpvo_minv,
pe_ttm_fs_ewpvo_q2v,
pe_ttm_fs_ewpvo_q5v,
pe_ttm_fs_ewpvo_q8v,
pe_ttm_fs_mcw_avgv,
pe_ttm_fs_mcw_cv,
pe_ttm_fs_mcw_cvpos,
pe_ttm_fs_mcw_maxpv,
pe_ttm_fs_mcw_maxv,
pe_ttm_fs_mcw_minv,
pe_ttm_fs_mcw_q2v,
pe_ttm_fs_mcw_q5v,
pe_ttm_fs_mcw_q8v,
pe_ttm_fs_median_avgv,
pe_ttm_fs_median_cv,
pe_ttm_fs_median_cvpos,
pe_ttm_fs_median_maxpv,
pe_ttm_fs_median_maxv,
pe_ttm_fs_median_minv,
pe_ttm_fs_median_q2v,
pe_ttm_fs_median_q5v,
pe_ttm_fs_median_q8v,
pe_ttm_mcw,
pe_ttm_median,
pe_ttm_y10_avg_avgv,
pe_ttm_y10_avg_cv,
pe_ttm_y10_avg_cvpos,
pe_ttm_y10_avg_maxpv,
pe_ttm_y10_avg_maxv,
pe_ttm_y10_avg_minv,
pe_ttm_y10_avg_q2v,
pe_ttm_y10_avg_q5v,
pe_ttm_y10_avg_q8v,
pe_ttm_y10_ew_avgv,
pe_ttm_y10_ew_cv,
pe_ttm_y10_ew_cvpos,
pe_ttm_y10_ew_maxpv,
pe_ttm_y10_ew_maxv,
pe_ttm_y10_ew_minv,
pe_ttm_y10_ew_q2v,
pe_ttm_y10_ew_q5v,
pe_ttm_y10_ew_q8v,
pe_ttm_y10_ewpvo_avgv,
pe_ttm_y10_ewpvo_cv,
pe_ttm_y10_ewpvo_cvpos,
pe_ttm_y10_ewpvo_maxpv,
pe_ttm_y10_ewpvo_maxv,
pe_ttm_y10_ewpvo_minv,
pe_ttm_y10_ewpvo_q2v,
pe_ttm_y10_ewpvo_q5v,
pe_ttm_y10_ewpvo_q8v,
pe_ttm_y10_mcw_avgv,
pe_ttm_y10_mcw_cv,
pe_ttm_y10_mcw_cvpos,
pe_ttm_y10_mcw_maxpv,
pe_ttm_y10_mcw_maxv,
pe_ttm_y10_mcw_minv,
pe_ttm_y10_mcw_q2v,
pe_ttm_y10_mcw_q5v,
pe_ttm_y10_mcw_q8v,
pe_ttm_y10_median_avgv,
pe_ttm_y10_median_cv,
pe_ttm_y10_median_cvpos,
pe_ttm_y10_median_maxpv,
pe_ttm_y10_median_maxv,
pe_ttm_y10_median_minv,
pe_ttm_y10_median_q2v,
pe_ttm_y10_median_q5v,
pe_ttm_y10_median_q8v,
pe_ttm_y5_avg_avgv,
pe_ttm_y5_avg_cv,
pe_ttm_y5_avg_cvpos,
pe_ttm_y5_avg_maxpv,
pe_ttm_y5_avg_maxv,
pe_ttm_y5_avg_minv,
pe_ttm_y5_avg_q2v,
pe_ttm_y5_avg_q5v,
pe_ttm_y5_avg_q8v,
pe_ttm_y5_ew_avgv,
pe_ttm_y5_ew_cv,
pe_ttm_y5_ew_cvpos,
pe_ttm_y5_ew_maxpv,
pe_ttm_y5_ew_maxv,
pe_ttm_y5_ew_minv,
pe_ttm_y5_ew_q2v,
pe_ttm_y5_ew_q5v,
pe_ttm_y5_ew_q8v,
pe_ttm_y5_ewpvo_avgv,
pe_ttm_y5_ewpvo_cv,
pe_ttm_y5_ewpvo_cvpos,
pe_ttm_y5_ewpvo_maxpv,
pe_ttm_y5_ewpvo_maxv,
pe_ttm_y5_ewpvo_minv,
pe_ttm_y5_ewpvo_q2v,
pe_ttm_y5_ewpvo_q5v,
pe_ttm_y5_ewpvo_q8v,
pe_ttm_y5_mcw_avgv,
pe_ttm_y5_mcw_cv,
pe_ttm_y5_mcw_cvpos,
pe_ttm_y5_mcw_maxpv,
pe_ttm_y5_mcw_maxv,
pe_ttm_y5_mcw_minv,
pe_ttm_y5_mcw_q2v,
pe_ttm_y5_mcw_q5v,
pe_ttm_y5_mcw_q8v,
pe_ttm_y5_median_avgv,
pe_ttm_y5_median_cv,
pe_ttm_y5_median_cvpos,
pe_ttm_y5_median_maxpv,
pe_ttm_y5_median_maxv,
pe_ttm_y5_median_minv,
pe_ttm_y5_median_q2v,
pe_ttm_y5_median_q5v,
pe_ttm_y5_median_q8v,
stockCode,